MOVIE, YEAR, MALE MENTIONS, FEMALE MENTIONS
Chocolate,2005,2,2
Shankar Hussain,1977,15,6
Khatta Meetha,1978,7,0
Hathyar,2002,51,15
Ship of Theseus,2013,12,0
Deewangee,2002,23,3
Dushman (1998 film),1998,26,38
Jeevan Ek Sanghursh,1990,8,5
Karmayogi,1978,28,18
Shagird,2011,113,0
Amaanat,1977,17,2
Salaakhen (1998 film),1998,31,1
Zanjeer (2013 film),2013,131,22
Calapor,2013,1,2
Nayak: The Real Hero,2001,13,0
Ready,2011,72,22
Aazaan,2011,20,2
Aandhi,1975,0,5
Humko Tumse Pyaar Hai,2006,51,41
Maharaja (1998 film),1998,16,0
Bichhoo (2000 film),2000,20,21
Kalyug (2005 film),2005,66,29
Sholay 3D,2014,0,0
Corporate,2006,8,0
Baat Ban Jaye,1986,1,3
Mujhe Kucch Kehna Hai,2001,28,18
Dear Zindagi,2016,5,39
Zinda Dil,1975,23,5
Rock On!!,2008,32,20
The Hero: Love Story of a Spy,2003,39,18
Kamagni,1987,0,0
Qahar,1997,7,0
Rudaali,1993,8,43
Haramkhor,2017,32,39
Final Solution (2003 film),2003,0,0
Shanakht,1989,0,0
Phantom,2015,8,12
Sanam Teri Kasam (2009 film),2009,16,15
Achanak,1973,15,0
Coolie No. 1 (Hindi film),1995,13,0
